Sl No.,Project ID,Project Name,Completion Date,Reject/Revoke Date
1,WBRERA/NPR-000396,City Centre Asansol,31-12-2028,29-08-2023
2,WBRERA/NPR-003400,OZONE,31-12-2028,06-08-2025
3,WBRERA/NPR-003657,BINAYAK LILY,31-07-2026,06-08-2025
4,WBRERA/NPR-003674,Binayak Tulip,30-06-2028,06-08-2025
5,WBRERA/NPR-003726,BOUNGAINVILLEA,31-12-2028,29-07-2025
6,WBRERA/NPR-003764,PROJECTION RESIDENCY,31-12-2027,31-07-2025
7,WBRERA/NPR-003971,SANGAM TOWER - 1,31-03-2029,31-07-2025
8,WBRERA/NPR-004122,231 GARFA,31-05-2026,16-08-2025
9,WBRERA/NPR-004571,PARIJAT,31-12-2027,20-03-2026
10,WBRERA/NPR-004726,DURGA HOUSING PHASE -3,01-04-2028,16-01-2026
11,WBRERA/NPR-004727,DURGA HOUSING PHASE -4,01-04-2028,16-01-2026
12,WBRERA/NPR-004729,DURGA HOUSING PHASE -6,01-04-2028,02-04-2026
13,WBRERA/NPR-004731,DURGA HOUSING PHASE -8,01-04-2028,02-04-2026
14,WBRERA/NPR-004873,AISHIKA APARTMENT,30-12-2030,02-04-2026
